,text,time_created,user
25,do the links work?,2017-06-05 23:19:14,thunterdb
26,`tiong`,2017-06-05 23:20:21,thunterdb
27,wiki link? https://en.wikipedia.org/wiki/Transfer_learning,2017-06-05 23:21:20,thunterdb
28,"We should eventually have a demo dataset that is builtin, it would make things more easily",2017-06-05 23:22:04,thunterdb
29,"I think ""data-parallel"" typically implies that the parameters are not distributed, and the parameters could be distributed in some forms of distributed training ?",2017-06-05 23:48:30,sueann
30,We'll say we recommend Spark 2.1.1 and python 2.7... :-),2017-06-05 23:53:03,sueann
31,😂😂😂,2017-06-05 23:53:29,sueann
32,yep agreed.,2017-06-05 23:53:44,sueann
33,this warning is not corect anymore,2017-06-06 00:06:31,thunterdb
34,"this is all static. What is the advantage of wrapping stuff in a class? Is it pythonic?

cc @MrBago ",2017-06-06 00:07:08,thunterdb
35,put a TODO to make it configurable,2017-06-06 00:10:16,thunterdb
36,"you need to put this file in `src/main/scala/org/tensorframes/impl`, this is the better convention",2017-06-06 00:16:07,thunterdb
37,"note that I used here `logger.xxx` instead of `logXxx`, because it had issues in notebooks. But you can change that back.",2017-06-06 00:20:07,thunterdb
38,Do we need to change it? If not we can keep it at the moment.,2017-06-06 01:49:38,phi-dbq
39,"Can we consolidate op_name, tensor_name, strip_and_freeze_until with https://github.com/databricks/spark-deep-learning/blob/master/python/sparkdl/transformers/utils.py#L47-L71 ? Maybe move them out to something like python/sparkdl/tf_utils.py ?

Do you think `GraphBuilder` can be used whenever we use `stripAndFreezeGraph` internally?
It is probably still a good idea to separate out `strip_and_freeze_until` / `stripAndFreezeGraph` from it into a stand-alone function since `GraphBuilder` is probably too convoluted for the users of the package (vs internal usage).",2017-06-05 21:33:32,sueann
40,I believe we can use it to replace all the TensorFlow session usage. ,2017-06-05 22:14:47,phi-dbq
41,these are internal?,2017-06-05 23:41:47,sueann
42,Please use `self.assertTrue` instead of `assert`.,2017-06-05 23:46:21,MrBago
43,"The nested functions you define in this test are never run, did you mean to call them at the end of this method?",2017-06-05 23:46:51,MrBago
44,Use `self.assertEqual`.,2017-06-05 23:48:05,MrBago
45,"Yes. For the time being, it is best if they are only used by library and model maintainers. ",2017-06-06 01:18:15,phi-dbq
46,"Sometimes it can be useful to create a namespace, but in this case I'd actually move it into it's own module. It should be cleaner that way. For example within the module you can drop the cls in statements like `cls._curr_sc()._jvm` and use `_curr_sc()._jvm`. You'll also get the benefits of a namespace, if you call the file `jvmapi.py` you'll use `jvmapi.for_class` and so on.",2017-06-06 02:47:03,MrBago
47,this file should be put in `src/main/scala/org/apache/...`,2017-06-13 00:05:49,thunterdb
48,"I think that this API is going to be part of the official API for Spark. Can you check with Reynold Xin, and put a comment to say when it is available? We should replace it eventually.",2017-06-13 00:06:45,thunterdb
49,"These are used from Python, since `py4j` converts python lists to java lists",2017-06-14 18:00:19,phi-dbq
50,We are using TensorFlow and TensorFrames compiled with Java 8. Thus using JDK8 here. ,2017-06-14 18:45:36,phi-dbq
51,Only running scala tests for this PR. We will merge this file with the master travis file once this PR is checked in. ,2017-06-14 18:46:42,phi-dbq
52,The comment should be updated here: I meant to say the TensorFrames factory.,2017-06-14 21:28:41,thunterdb
53,camel case?,2017-06-14 21:29:10,thunterdb
54,This comment is going to be lost. Mention in the doc of the class that all the public methods are expected to be reachable from python / py4j,2017-06-14 21:30:18,thunterdb
55,doc?,2017-06-14 21:30:47,thunterdb
56,Anyone is calling this function?,2017-06-15 04:53:08,gatorsmile
57,"Since 2.x, we do not encourage users to use SQLContext. Instead, you can pass SparkSession.",2017-06-15 04:54:15,gatorsmile
58,"as mentioned, it is better to keep all the interfaces between python and scala to simple things like `ArrayList`, this simplifies the maintenance.",2017-06-16 22:14:34,thunterdb
59,This file is copied from graphframes.,2017-06-14 00:50:44,MrBago
60,For python3 compatibility.,2017-06-14 00:51:07,MrBago
61,python3,2017-06-14 00:51:16,MrBago
62,Breaking this test up allows unused variables to go out of scope and be GCed.,2017-06-14 00:55:45,MrBago
63,"We might need to add 
```
jdk:
 - oraclejdk8 # openJDK crashes sometimes; tensorframes is compiled w.r.t JDK8
```
following TensorFrames Travis settings https://github.com/databricks/tensorframes/blob/master/.travis.yml",2017-06-14 23:44:24,phi-dbq
64,camelCase,2017-06-20 02:16:27,sueann
65,This is pretty much what's behind the SQL UDF.,2017-06-06 09:01:17,phi-dbq
66,I feel like there were some comments about this (vs _java_api_sql)... but I can't find them. @MrBago / @thunterdb ?,2017-06-09 22:16:08,sueann
67,absolute import seems more robust. cc @MrBago ,2017-06-09 22:18:21,sueann
68,"this feels a bit overly complex. my biggest concern would be that for any new contributors who are used to tf.session / tf.graph, they would need to learn what `with GraphBuilderSession() as builder` translates to. e.g. it's taking me some time to understand and trust that this is going to serve all the needs in the transformer code.

so let's make this match tf.Session and not return a builder in `__enter__`",2017-06-09 22:21:28,sueann
69,nit: elements,2017-06-09 22:29:01,sueann
70,"I'd make it `keras` instead of `wrap_keras`. It's simpler for the user to think about it as, ""if I'm using keras, just set this flag to True)",2017-06-09 22:34:33,sueann
71,Also use `graph` instead of `g` to be consistent with `tf.Session()`,2017-06-09 22:37:12,sueann
72,why do you need a new session here?,2017-06-09 22:56:48,sueann
73,validated_output ? `valid_output` sounds like it should return a bool,2017-06-09 23:02:48,sueann
74,`validated_input` ? `valid_input` sounds like it should return a bool,2017-06-09 23:03:01,sueann
75,"i think it's clearer to make this a module of functions, since the functions are all basically static functions.

the module's mission would be providing commonly-used graph pieces. good luck naming xD",2017-06-09 23:11:37,sueann
76,UDF -> GraphFunction,2017-06-09 23:12:42,sueann
77,"it might fit better in GraphFunction class itself, e.g. from_keras",2017-06-09 23:15:44,sueann
78,`show` is a good enough name,2017-06-09 23:34:56,sueann
79,move the tf.Session creation to GraphBuilderSession. when we need to use it in strip_and_... pass it in then. it's confusing to have a tf.session as a class variable and not use it in the class methods.,2017-06-09 23:37:18,sueann
80,this one probably also belong elsewhere. let's move it to GraphFunction.fromList(),2017-06-09 23:40:42,sueann
81,do not return the builder. return yourself.,2017-06-09 23:41:21,sueann
82,"I think it'd be clearer to move this class out into its own module (not a class) and have the functions all take in `graph` as an arguement. This then essentially is a utils static class with only static functions, which is better for performance as well.",2017-06-09 23:45:44,sueann
83,"`IsolatedSession` might be a good name to describe what it's doing. It should match what tf.Session is (including being able to get the graph from the session), but ensure isolation for tensorflow and keras sessions.",2017-06-10 00:18:27,sueann
84,ok so this writes out a html file so that you can view the graph in your browser. it's awesome! let's rename it to write_visualization_html() and have it take in an optional filename ,2017-06-10 00:22:33,sueann
85,I am moving this into a separate submodule.,2017-06-12 20:25:33,phi-dbq
86,"oops ~
",2017-06-12 20:25:49,phi-dbq
87,I moved the utility functions into a separate module and combined the `tf.Session` like features into a single class. ,2017-06-12 23:20:21,phi-dbq
88,"I combined the `tf.Session` like features of `GraphBuilder` and `GraphBuilderSession` into a single class named `IsolatedSession`. 
",2017-06-12 23:21:07,phi-dbq
89,"why not put it in python/sparkdl/graph/utils.py ? I think it's better to put specialized util modules in the relevant submodules vs putting all util modules in the same ""utils"" module.",2017-06-12 23:27:14,sueann
90,why not use absolute imports? seems more robust. cc @MrBago ,2017-06-12 23:27:40,sueann
91,is it too messy to put in GraphFunction as e.g. `from_graph_functions` ? it's a little out of place in this module.,2017-06-12 23:30:13,sueann
92,"In this session, the new first graph function is reloaded with its own name scope (to avoid potential name conflict). In the previous session, we acquire the tensor info of the original inputs. In this session, the original inputs are reconstructed. 
![screen shot 2017-06-09 at 3 37 04 pm](https://user-images.githubusercontent.com/28275034/27059766-1a6367b4-4f8d-11e7-8fce-c3f73d465a8c.png)
",2017-06-12 23:32:56,phi-dbq
93,also this import doesn't seem used?,2017-06-12 23:33:27,sueann
94,"still woud like a better name for the module since ""factory"" sounds like https://en.wikipedia.org/wiki/Factory_method_pattern",2017-06-12 23:34:02,sueann
95,pieces.py ?,2017-06-12 23:34:30,sueann
96,"could we name this file builder.py and if needed do 
```
import sparkdl.graph.builder as graph_builder
```
?

is there a convention @MrBago  ?",2017-06-12 23:35:15,sueann
97,is this module basically meant to be exposed only through `utils.pyutils` below?  might want to add a comment. ,2017-06-12 23:36:40,sueann
98,a little weird to have a module utils.utils,2017-06-12 23:36:58,sueann
99,"much cleaner than my initial code, thank you.",2017-06-13 00:11:31,thunterdb
100,"Can you explain a bit more how the data is stored? It is very specific joblib things. Also, you should change the name to make it more explicit, such as ""dumpTemporary"" or ""dumpInternal"" or something even more scary.",2017-06-13 00:13:14,thunterdb
101,parameters?,2017-06-13 00:13:43,thunterdb
102,doc?,2017-06-13 00:15:52,thunterdb
103,doc?,2017-06-13 00:15:58,thunterdb
104,The `pyutils` is the one from spark's [PythonUtils](https://github.com/apache/spark/blob/master/core/src/main/scala/org/apache/spark/api/python/PythonUtils.scala). ,2017-06-13 00:40:10,phi-dbq
105,"Utilities defined in this module are supposed to run as if they were part of TensorFlow utilities, e.g.
`import sparkdl.graph.utils as tfx`.  Thus I kept the names as snake_case.",2017-06-13 00:43:51,phi-dbq
106,"we might want to decide a better serialized format, so the scala side can also load it easily",2017-06-13 00:52:09,phi-dbq
107,"The model is supposed to look like this 
![graph-function-from-list](https://user-images.githubusercontent.com/28275034/27061537-99313b82-4f99-11e7-9f55-d4127fbb2289.png)
",2017-06-13 01:05:17,phi-dbq
108,Why are we using joblib here? Couldn't we use json for this? It seems pretty heavy to add a joblib dependency just for serialization.,2017-06-13 17:43:42,MrBago
109,What is `_st`? Could we use a better variable name?,2017-06-13 17:56:00,MrBago
110,"This functions is a bit odd to reason about. Could you make two helper functions, one to handle the path case and one to handle the KarasModel. In the latter, you can use a try/finally block to control the tempdir creation/deletion and call the former function within the try.",2017-06-13 18:01:33,MrBago
111,The name here is confusing because fromKeras can also take a file.,2017-06-13 18:14:20,MrBago
112,What is the identity graph for? Is it for testing?,2017-06-13 18:16:35,MrBago
113,Aren't lines 78-79 the same as lines 86-87?,2017-06-13 20:07:29,MrBago
114,"Is there a reason you get ""x"" twice here?",2017-06-13 20:10:55,MrBago
115,I renamed this to `fromSerialized`,2017-06-14 00:43:25,phi-dbq
116,renamed as well,2017-06-14 00:43:33,phi-dbq
117,looks like it was a copy-and-paste duplicate ~ removed,2017-06-14 01:22:38,phi-dbq
118,This should be `six==1.10.0`.,2017-06-14 01:25:23,MrBago
119,"I think pathlib is python3 only, can you check.",2017-06-14 01:26:00,MrBago
120,Why aren't we using json here? Isn't serialized made up of strings and lists? json is much better for portability than pickle.,2017-06-14 01:30:02,MrBago
121,If this is for testing can we move it into the test file.,2017-06-14 01:30:52,MrBago
122,Travis found one more thing :). I think you meant to do `import sparkdl.utils.udf as udf` here because you use the module on L239. But that won't actually work because you're shadowing the udf from `pyspark.sql.functions` imported a few lines above. Maybe we should rename this module?,2017-06-14 01:58:32,MrBago
123,oh well ~ that was subtle TT. Moving them back to JVMAPI ~ thanks man!,2017-06-14 07:20:06,phi-dbq
124,"oic what the issue here is, even though the method is called `SerializeToString()` it returns a binary object ... that's lame. hmm ...

I'm not sure the best way to handle this. We could pickle ... or use 2 files ... or base64 encode the blob ... I don't love any of those options :).

Sorry for mouthing off without fully understanding the issue :p.",2017-06-14 18:03:06,MrBago
125,They certainly have interesting ways to name things. Thanks for the suggestions. I think saving them for two files like this makes Scala Python model sharing easier. ,2017-06-14 19:04:30,phi-dbq
126,"To make Travis happy, allocating executors according to the machine's capacity. ",2017-06-14 21:55:45,phi-dbq
127,This method does not check the whether said tensor name exists in the graph. ,2017-06-14 21:56:59,phi-dbq
128,To avoid overly being clogged by py4j output.,2017-06-14 21:58:14,phi-dbq
129,"I think --nologcapture will really help. Can we avoid using --nocapture, nocapture allows us to put useful print statements in the tests which will only get reported if the test fails.",2017-06-15 00:01:46,MrBago
130,Doesn't `os.path.join` return a str?,2017-06-15 00:08:28,MrBago
131,I like to put everything between `mktemp` and `rmtree` in a try/finally :).,2017-06-15 00:08:58,MrBago
132,`mkdtemp` should not be inside the try because we do not want to call `rmtree` if `mkdtemp` fails.,2017-06-15 01:30:47,MrBago
133,"as mentioned in #15 , let's change that so that the python list is handlded directly by py4j.",2017-06-16 22:19:32,thunterdb
134,we should not need that,2017-06-16 22:20:17,thunterdb
135,this is a duplicate from some code in #15 ? ,2017-06-16 22:20:50,thunterdb
136,Nice!,2017-06-16 22:21:10,thunterdb
137,"If we do not do that, does it take so long that we get killed? We should make the tests run faster somehow.",2017-06-16 22:21:52,thunterdb
138,can you also add a check that the graph of `tfobj_or_name` is `graph`?,2017-06-16 22:24:32,thunterdb
139,"I actually changed this to explicitly store the `GraphDef` as bytes and the filename, inputs and outputs names in a JSON file. 
https://github.com/databricks/spark-deep-learning/blob/1dda1ef8c9d7ff561ee9bc85cbcddf9e4095466b/python/sparkdl/graph/builder.py#L140",2017-06-16 22:30:55,phi-dbq
140,"with a hard coded `local[4]`, travis get OOM for tests with inception graphs. ",2017-06-16 22:49:03,phi-dbq
141,do you need this change?,2017-06-19 17:29:56,thunterdb
142,new line?,2017-06-19 17:30:25,thunterdb
143,do you still need it? It may cause some issues with the size of logs,2017-06-19 17:30:51,thunterdb
144,"does it work? If not, remove it.

Also, looking at the travis logs, I do not see tests running.",2017-06-19 17:33:44,thunterdb
145,I would call it `prefix` instead of `name`,2017-06-19 17:35:08,thunterdb
146,"This may not work with `name == None`, but this is fine.",2017-06-19 17:36:00,thunterdb
147,you do not seem to use it?,2017-06-19 17:40:51,thunterdb
148,you do not seem to use it?,2017-06-19 17:41:11,thunterdb
149,"`keras` is not specific enough, I find, when reading the tests. How about `keras_use_tf`? ",2017-06-19 17:45:48,thunterdb
150,"You only seem to define it and test it.
 
My concern with this function is that we do not use it, and it adds a significant API liability (file API). Let's add a big warning in the doc that says that the file format is not stable, should not be trusted for long-term storage, is only for temporary operations with `dump` etc. And put the same comments in `dump`.

We will most probably change the format anyway because of the cost of json serialization above, it is going to be much slower that one could do.",2017-06-19 17:48:47,thunterdb
151,yes you do.,2017-06-19 17:49:12,thunterdb
152,"does this function need to be an inner function? You could define it outside the class as a separate function, right?",2017-06-19 17:50:09,thunterdb
153,doc please,2017-06-19 17:50:30,thunterdb
154,This doc is not great. The main purpose of this class is to provide isolation of keras and tensorflow resources.,2017-06-19 17:51:20,thunterdb
155,"all this code is pretty complicated. I trust you, which means that you also trust me, the original author :) Feel free to ask a second review from someone else, as I am fairly biased about this section.",2017-06-19 17:52:58,thunterdb
156,"One other comment that should be added here: each of the function is scoped by the `scope name`, with the exception of the initial input and the final output.",2017-06-19 17:54:54,thunterdb
157,you should state in English the invariant being checked here.,2017-06-19 17:55:25,thunterdb
158,It is worth restating that the initial placeholders are not affected by the name rescoping.,2017-06-19 17:56:20,thunterdb
159,You can leave as a TODO here that we import all the initial function instead of the input placeholders. This may cause some issue later if people reimport in the same graph some nodes with the same names.,2017-06-19 17:57:24,thunterdb
160,"+1, thanks for the TODO",2017-06-19 17:58:03,thunterdb
161,`img_dtype == SparkMode.RGB`,2017-06-19 17:58:34,thunterdb
162,one line doc with what is being returned?,2017-06-19 18:00:02,thunterdb
163,I am surprised we do not have this already.,2017-06-19 18:01:41,thunterdb
164,Add this comment in the code,2017-06-19 18:01:58,thunterdb
165,"`, name_parts`",2017-06-19 18:02:21,thunterdb
166,"`, name_parts`",2017-06-19 18:02:29,thunterdb
167,you should mention that it prunes out all the parts of the graph that are unreachable from the fetches.,2017-06-19 18:53:26,thunterdb
168,this is very cool! I wonder if we should advertise it more. Certainly worth of its own PR.,2017-06-19 18:54:11,thunterdb
169,"I am mainly following [tensorframes' travis file](https://github.com/databricks/tensorframes/blob/master/.travis.yml#L6). 
Otherwise we get the minor version error as the tensorframes dependency we use is compiled against java 8",2017-06-19 19:16:20,phi-dbq
170,"I am not quite certain whether it is due to `--nologcapture` or that plus this that suppressed the TensorFlow INFO logs. 

For tests, I believe they did run
https://travis-ci.org/databricks/spark-deep-learning#L1099",2017-06-19 19:25:21,phi-dbq
171,"Per https://www.tensorflow.org/api_docs/python/tf/import_graph_def, passing `None` is the default of `tf.import_graph_def` and it will add the prefix ""import"" to the graph.",2017-06-19 20:34:58,phi-dbq
172,Oh?,2017-06-19 21:43:30,phi-dbq
173,"Thanks :) 
I am removing this and putting it to a separate PR.",2017-06-19 21:44:13,phi-dbq
174,"This is pretty frustrating. There is a separate PR for this, https://github.com/databricks/spark-deep-learning/pull/20. Adding travis related stuff to your PR not only introduces merge conflicts, which then take time to resolve. It also makes your PR harder to review and we end up having the same conversations twice.

Can we commit to these conditions for merging this PR. 1) Fix failing tests in master 2) Merge travis PR 3) rebase on master, then we can properly merge this PR.",2017-06-19 22:00:23,MrBago
175,`using_keras` ? not sure what `keras_use_tf` means either??,2017-06-20 01:55:07,sueann
176,"or as a ""private"" function inside the class until we want it exposed",2017-06-20 01:56:27,sueann
177,unused?,2017-06-20 02:02:58,sueann
178,no longer true,2017-06-20 02:03:33,sueann
179,"there is no longer a class called GraphBuilder, so rename to... `GraphFunctionWithIsolatedSessionTest` ?

several of the tests are testing GraphFunction and nearly all are testing IsolatedSession. It'd be ideal to separate them out, e.g. testing GraphFunction functions should use tf.Session. But the test coverage looks good enough so I'd add a TODO comment for this and call it a day for this PR (it's been modified enough...)
",2017-06-20 02:03:58,sueann
180,"` assert len(name_parts) <= 2, name_parts` to print what is wrong when the assert gets triggered",2017-06-20 18:16:48,thunterdb
181,"You should do that for any assert, otherwise it is unhelpful.",2017-06-20 18:17:06,thunterdb
182,"indeed, they did.",2017-06-20 18:22:46,thunterdb
183,"@phi-dbq you just removed the python tests, see the travis exit...",2017-06-20 18:24:52,thunterdb
184,"it does, indeed.",2017-06-20 18:25:06,thunterdb
185,`tfs` is more customary,2017-06-20 21:36:50,thunterdb
186,`fetch`,2017-06-20 21:39:59,thunterdb
187,"you need to expand this comment. I understand what you mean, but no one else probably does.",2017-06-20 21:42:57,thunterdb
188,"We should really move that to tensorframes, it calls all sorts of internal functions.",2017-06-20 21:46:17,thunterdb
189,put private functions lower. A file should be structured from the most important to the least important.,2017-06-20 21:46:55,thunterdb
190,"Man, this function is going to be so slow: python UDF, converting to PNG, writing to disk, etc.",2017-06-20 21:48:01,thunterdb
191,You should make it clear that this is a perf bottleneck.,2017-06-20 21:48:27,thunterdb
192,is this true?,2017-06-20 22:16:50,thunterdb
193,why upper case?,2017-06-20 22:17:58,thunterdb
194,... as a whole column,2017-06-20 22:19:53,thunterdb
195,"this is all repeated between tests, do not copy.",2017-06-20 22:21:01,thunterdb
196,"I am confused, what is the difference with the file above?",2017-06-20 22:21:42,thunterdb
197,"this return value is very unhelpful for python users, but I want to propose a way to wrap a scala UDF automatically. No need to change it for now.

Update the doc though to mention that it is of class `... UserDefinedFunction`",2017-06-20 22:24:13,thunterdb
198,"In retrospect, I am not a fan for calling `forClass` because it also sets the default the sql context. Something like `createBuilder` is good, I think.",2017-06-20 22:27:29,thunterdb
199,"This is the main function of this file, and it should be well documented. You should use here the pydoc syntax. Ideally, this should be a standalone docstring test, but that requires a bit of setup. You should explain at least how to get a H5 file (or point to the keras doc).

Also, the main usage will probably be a python object, not a file. You can put something simple like what is here: https://keras.io/getting-started/sequential-model-guide/

```
model = Sequential()
model.add(Dense(32, input_dim=784))
```",2017-06-20 22:31:06,thunterdb
200,"the name of the SQL function, once it is registered. If the name exists, it will be overwritten.",2017-06-20 22:31:50,thunterdb
201,do we just accept file paths? I thought we were also accepting models. I recall that there are some serialization issues to consider for that?,2017-06-20 22:32:32,thunterdb
202,this is not correct?,2017-06-20 22:32:47,thunterdb
203,"you should explain what this is, and where it comes from. There should be an example above with inception, so that people understand the necessity. This is just a matter of copy/pasting one of the tests.",2017-06-20 22:33:45,thunterdb
204,I did not know you could chain variables like this.,2017-06-20 22:36:38,thunterdb
205,"Oh, my bad ~ it is a merge mistake",2017-06-20 23:03:40,phi-dbq
206,"Is this a comment suggesting action for this PR, or a comment to leave a comment here? 😅",2017-06-20 23:38:09,sueann
207,not sure if there is a description that will be clear enough lol. do we actually support blocking for these UDFs?,2017-06-20 23:39:15,sueann
208,"actually, what does it mean to have blocking for a SQL UDF?",2017-06-20 23:40:22,sueann
209,"More like ""Returns a function that loads and preprocesses images using the given preprocessor  (image_file_path => image_tensor).

",2017-06-20 23:46:44,sueann
210,Also specify what the input and output of the preprocessor should be (file path string => numpy array),2017-06-20 23:51:33,sueann
211,Also need to say what the input and output column types for the resulting UDF are. ,2017-06-20 23:52:22,sueann
212,"one potential optimization:
For this use case where the input dataframe to the SQL UDF contains file paths, instead of having to register a pipeline of load => predict, we could have a version of registerKerasUDF that natively handles file path input columns. This way we could avoid doing:
file path => load file => write file => load file using the given preprocessor => predict. ",2017-06-20 23:57:29,sueann
213,"if that sounds interesting, let's talk in person a little before doing it",2017-06-20 23:57:56,sueann
214,This blank line is needed or sphinx won't parse the lists correctly,2017-06-21 01:31:58,phi-dbq
215,"here is how to make the code testable:
https://thomas-cokelaer.info/tutorials/sphinx/doctest.html",2017-06-21 20:37:12,thunterdb
216,do you need to isolate?,2017-06-21 20:37:27,thunterdb
217,just put one dense layer for the purpose of example,2017-06-21 20:37:44,thunterdb
218,"hmm ok, we use it after that",2017-06-21 20:38:38,thunterdb
219,is it required?,2017-06-21 20:38:46,thunterdb
220,can you directly get the name from the layer? It should be something simple?,2017-06-21 20:39:15,thunterdb
221,import also the preprocessor,2017-06-21 20:40:41,thunterdb
222,this is the most common use case.,2017-06-21 20:40:52,thunterdb
223,"I had forgotten that this is just for tensorflow. The example here should be minimal, like the test below:

```python
		 +        with IsolatedSession() as issn:
 +            # The placeholder that corresponds to column 'x' as a whole column
 +            x = tf.placeholder(tf.double, shape=[], name=""x"")
 +            # The output that adds 3 to x
 +            z = tf.add(x, 3, name='z')
 +            # Let's register these computations in SQL.
 +            issn.asUDF(""map_rows_sql_1"", [z])
```
",2017-06-21 20:42:51,thunterdb
224,actually see comment above.,2017-06-21 20:45:25,thunterdb
225,see comment above about this example,2017-06-21 20:45:41,thunterdb
226,see comment above about this example,2017-06-21 20:45:46,thunterdb
227,"I had missed that before: this function does not use a full session, just the current graph of computation. Instead of making it a method to the isolated session, make it a top-level function with the first argument being a graph. This function is meant to be low level, and I want to move it to TensorFrames eventually.",2017-06-21 20:46:36,thunterdb
228,Our code examples require setting up spark and tensorflow/keras for testing. Maybe we can provide them as examples and import them in the doc? ,2017-06-21 21:49:15,phi-dbq
229,Looks like we have to explicitly call `model.build()` to have the `model.input_names` available. https://github.com/fchollet/keras/blob/master/keras/models.py#L535,2017-06-21 21:52:11,phi-dbq
230,Let's just put it in the README.md and the databricks guide.,2017-06-21 22:03:26,sueann
231,Why is this under graph/ and the keras one under udf/ ? Is this one not meant to be exposed?,2017-06-21 23:17:22,sueann
232,why would you ever have it not blocked? should we just make it always blocked and remove the argument?,2017-06-21 23:18:37,sueann
233,function -> UDF,2017-06-21 23:19:48,sueann
234,"nit: produce -> produces

the output is any arbitrary vector right? doesn't have to be a probability vector. I forget if the return type is a list or a MLlib Vector, but should specify here.",2017-06-21 23:19:59,sueann
235,"Good point, I have also forgotten.",2017-06-22 00:21:12,thunterdb
236,"do we want to expose it here? I would prefer to keep it private-ish for the time being, because this should belong to TensorFrames: it calls all sorts of internals and it is not specific to deep learning.",2017-06-22 00:22:13,thunterdb
237,we should add that in a comment here then. Maybe rename the module to `tensorframes_udf` if we really want this to be in tensorframes eventually. `spark_utils` sounds like it's got a bunch of helper functions around spark.,2017-06-22 00:25:53,sueann
238,I intend to consider things under graph/ as more like developer tools whereas things under udf/ are baked UDFs that end users can use.,2017-06-22 00:31:09,phi-dbq
239,"from @thunterdb : two scenarios under which you would use blocked = False:
1/ your tensorflow graph tensors do not specify the ""batch"" dimension (the first dimension in the shape)
2/ rows have varying sizes, e.g. sparse vectors

let's document this here.",2017-06-22 00:33:20,sueann
240,"If `blocked = true`, the graph provided by the user should [accept batch input](https://github.com/databricks/spark-deep-learning/blob/master/src/main/scala/org/tensorframes/impl/SqlOps.scala#L116), e.g. `input_shape=(None, W, H, C)`. Our current `Spimage` allows images to have different width and heights, thus batching might not be able to directly apply. ",2017-06-22 00:39:07,phi-dbq
241,"Yeah, I think the output is just an arbitrary vector (`WrappedArray`). ",2017-06-22 00:44:09,phi-dbq
242,"Ah yeah, for the Keras udf registration functinon we do need to talk about `SpImage`. It might fail if the images have different widths and heights, but it could succeed if they all had the same widths and heights right? ",2017-06-22 01:08:58,sueann
243,this also can output an arbitrary vector no?,2017-06-22 01:10:34,sueann
244,"by that i mean the ""categories"" part is not necessary. for example, the input model may not actually output a classification probability vector but a transformed image, no? In such a case, the UDF returns a flat vector, not a `SpImage`, right? (For KerasImageFileTransformer, there is an option to return a SpImage or a 1-d vector).",2017-06-22 01:13:27,sueann
245,"Yes, you are right. The model dictates the output.",2017-06-22 01:29:33,phi-dbq
246,"Yes. To apply a vanilla Keras Inception model, the width and height have to be fixed. For any popular image mode, the input is expected to be of a fixed size, unless reshaping to canonical size from provided width and height is part of the model graph, like we have in the transformers. ",2017-06-22 03:56:17,phi-dbq
247,+1 for renaming to `tensorframes_udf`,2017-06-22 17:00:19,thunterdb
